#n_thrds,p50_l,p90_l,p99_l
50,33,45,1334
60,31,50,7315
70,32,46,1542
80,34,56,7328
90,35,51,7816
100,33,6100,9442
110,35,49,4796
120,36,49,8345
130,31,45,7745
140,33,61,4545
150,35,64,8441
160,31,6608,9265
170,34,52,7660
180,35,79,8467
190,36,6891,9442
200,37,2376,8924
210,35,63,8202
220,44,4825,8950
230,35,72,8062
240,53,7372,9361
250,49,7143,9380
260,40,4255,8821
270,33,85,8267
280,36,80,8267
290,34,52,7889
300,35,70,8034
310,2894,8100,9950
320,35,96,7774
330,36,4246,9033
340,37,125,8272
350,43,7607,9472
360,45,6752,9625
370,45,7613,9914
380,36,2195,8765
390,33,268,8450
400,36,94,8348
410,34,155,8195
420,35,66,8072
430,57,6585,9161
440,35,6106,9136
450,34,1931,8590
460,33,69,8274
470,37,4410,11275
480,33,3016,12821
490,40,3306,9377
500,40,1175,9337
